"","score","asfeeling"
"824",100,"Strongly Favorable"
"825",50,"Unfavorable"
"826",71,"Lightly Favorable"
"827",86,"Strongly Favorable"
"828",50,"Unfavorable"
"829",88,"Strongly Favorable"
"830",89,"Strongly Favorable"
"831",71,"Lightly Favorable"
"832",100,"Strongly Favorable"
"833",91,"Strongly Favorable"
"834",98,"Strongly Favorable"
"835",65,"Lightly Favorable"
"836",70,"Lightly Favorable"
"837",56,"Lightly Favorable"
"838",66,"Lightly Favorable"
"839",52,"Lightly Favorable"
"840",100,"Strongly Favorable"
"841",91,"Strongly Favorable"
"842",80,"Strongly Favorable"
"843",90,"Strongly Favorable"
"844",99,"Strongly Favorable"
"845",71,"Lightly Favorable"
"846",87,"Strongly Favorable"
"847",70,"Lightly Favorable"
"848",100,"Strongly Favorable"
"849",53,"Lightly Favorable"
"850",72,"Lightly Favorable"
"851",100,"Strongly Favorable"
"852",74,"Lightly Favorable"
"853",100,"Strongly Favorable"
"854",97,"Strongly Favorable"
"855",83,"Strongly Favorable"
"856",100,"Strongly Favorable"
"857",100,"Strongly Favorable"
"858",79,"Strongly Favorable"
"859",85,"Strongly Favorable"
"860",100,"Strongly Favorable"
"861",50,"Unfavorable"
"862",80,"Strongly Favorable"
"863",100,"Strongly Favorable"
"864",63,"Lightly Favorable"
"865",73,"Lightly Favorable"
"866",58,"Lightly Favorable"
"867",100,"Strongly Favorable"
"868",30,"Unfavorable"
"869",76,"Strongly Favorable"
"870",53,"Lightly Favorable"
"871",70,"Lightly Favorable"
"872",50,"Unfavorable"
"873",49,"Unfavorable"
"874",80,"Strongly Favorable"
"875",97,"Strongly Favorable"
"876",79,"Strongly Favorable"
"877",54,"Lightly Favorable"
"878",75,"Lightly Favorable"
"879",87,"Strongly Favorable"
"880",100,"Strongly Favorable"
"881",53,"Lightly Favorable"
"882",91,"Strongly Favorable"
"883",81,"Strongly Favorable"
"884",53,"Lightly Favorable"
"885",75,"Lightly Favorable"
"886",82,"Strongly Favorable"
"887",85,"Strongly Favorable"
